文件名,问题,回答,评分,说明评分原因
建造检验要求.pdf,柴油发电机组安全保护装置中，超速保护的速度传感器通常应设置在额定转速的什么范围内作为设定值？,110%-115%额定转速之间的任意值,,
建造检验要求.pdf,配电板主开关的长延时过载保护一般设定为发电机组额定电流的多少比例，并延时多久后跳闸？,125%-135%，延时15-30S后跳闸,,
建造检验要求.pdf,发电机组单机负荷试验通常按照哪些负荷比例进行，各阶段运行时间如何规定？,通常按25%、50%、75%、110%负荷分别运行30分钟，100%负荷阶段运行2小时；对于非共同基座的发电机组，100%阶段需进行4小时单机负荷试验。,,
建造检验要求.pdf,滑动水密门在失电情况下，蓄能器应能够保证水密门完成什么操作任务？,关-开-关任务,,
建造检验要求.pdf,舵机手动操作检查中，应通过安装在泵上的什么部件使舵机动作以检查其工作可靠性？,液压阀,,
建造检验要求.pdf,桥楼舵角指示器与舵机实际舵角一致性检查的角度范围和校对间隔分别是多少？,-35°到35°；每5°校对一次,,
建造检验要求.pdf,舵角指示器每10°校对时允许的最大误差是多少？,±1°,,
建造检验要求.pdf,舵机安全阀的设定压力应确认为多少？,230bar,,
建造检验要求.pdf,船舶电梯在横摇和纵摇分别达到多少角度时会停止运行？,横摇±10°、纵摇±5°,,
我社入级LNG船船型介绍[郭显亭].pdf,HZ“G1长青”系列1st Generation薄膜型LNGC采用的货物围护系统、BOR值以及绝缘箱填充材料分别是什么？,GTT NO 96；BOR：0.15%；绝缘箱内填充珍珠岩（Perlite）,,
我社入级LNG船船型介绍[郭显亭].pdf,HZ“G2长健”系列2nd Generation LNGC的推进方式和蒸发气处理方式分别是什么？,推进方式：低速柴油机，双机双桨双舵；蒸发气处理：再液化单元+GCU,,
我社入级LNG船船型介绍[郭显亭].pdf,CESI系列3rd Generation（HZ“G3长安”系列）DFDE LNG运输船的货舱容积、总长、型宽和设计吃水分别是多少？,"货舱容积：174,059 cbm；总长：290.00 m；型宽：45.60 m；设计吃水：11.70 m",,
我社入级LNG船船型介绍[郭显亭].pdf,GTT NO 96 L03+系统在HZ“G4长兴”系列中标明的BOR值是多少，其主层绝缘箱填充材料和标准次层结构是什么？,BOR：0.1%；主层绝缘箱填充玻璃棉（Glass Wool）；标准次层：P-RUF Panel+Intermediate Box,,
我社入级LNG船船型介绍[郭显亭].pdf,"HZ-14,000 cbm LNG Bunkering Vessel的货舱数量、设计密度、蒸汽压力和推进方式分别是什么？",货舱数量2个，设计密度0.5t/m3，蒸汽压力0.07 Mpa，推进方式双燃料全回转推进,,
散装危险化学品运输[钱建魁].pdf,根据IBC规则定义，化学品船是指建造或改建成用于散装运输哪一章节所列液体化学品货物的货船？,规则第17章所列任何液体化学品货物,,
散装危险化学品运输[钱建魁].pdf,重力液货舱“G”的舱顶设计压力（表压）不得大于多少MPa？,0.07MPa,,
散装危险化学品运输[钱建魁].pdf,IMO 1型化学品船液货舱距舷侧外板、距中心线船底外板型线以及距船体外板的最小距离要求分别是什么？,距舷侧外板应不小于B/5或11.5m（取小者）；距中心线的船底外板型线应不小于B/15或6m（取小者）；任何部位距船体外板都应不小于760mm。,,
散装危险化学品运输[钱建魁].pdf,当载运IBC类有毒货物时，船上应至少配备几套符合IBC 14.2.2要求的安全设备，且至少几套应存放在货泵舱附近易到达处？,至少3套，其中至少1套存放在货泵舱附近易到达处。,,
散装危险化学品运输[钱建魁].pdf,控制式液货舱透气系统中，如果设有型式认可的高速透气阀，其蒸气/空气混合物向上自由喷射的出口速度至少应达到多少m/s，透气口高度可减至多少m？,30m/s，3m,,
散装危险化学品运输[钱建魁].pdf,通风管道贯穿A级分隔且横截面积≤0.02m²时，开口处钢套管的厚度、长度以及舱壁两侧长度分别应满足什么要求？,厚度≥3mm，长度≥200mm，舱壁两侧长度≥100mm。,,
散装危险化学品运输[钱建魁].pdf,根据SOLAS II-2/9.3.1，其他管道贯穿B级防火分隔时，套管与管道之间的空隙不得超过多少毫米，或应采取什么替代措施？,2.5mm；或者管道和管间的任何空隙用不燃材料或其他合适的材料填实。,,
散装危险化学品运输[钱建魁].pdf,防止热传递时，隔热应至少延伸至超过贯穿处、接头处或终止点多少毫米？,450mm,,
散装危险化学品运输[钱建魁].pdf,500总吨及以上化学品船货泵舱可燃气体探测系统在易燃蒸气浓度达到不高于可燃气体爆炸下限多少时，应自动激发连续声光报警？,10%,,
散装危险化学品运输[钱建魁].pdf,化学品船货物操作期间经常进入的货泵舱机械通风系统，应具有每小时不小于多少次的空气交换能力；对于IBC规则15.17要求的某些货物，通风率应增加到每小时多少次？,30次；45次,,
新能源：绿色甲醇混合动力船舶技术研究 【王忠诚】.pdf,2023年7月MEPC第80次会议明确的国际航运温室气体减排核心目标中，2030年和2040年分别要求较2008年减少多少比例？,2030年减少20%（力争30%），2040年减少70%（力争80%）,,
新能源：绿色甲醇混合动力船舶技术研究 【王忠诚】.pdf,甲醇燃料的密度、沸点、熔点、闪点和爆炸范围分别是多少？,密度：0.79g/cm³、沸点：64.7℃、熔点：-97℃、闪点：11℃、爆炸范围：6%-44%V/V,,
新能源：绿色甲醇混合动力船舶技术研究 【王忠诚】.pdf,甲醇中毒应急处理中，皮肤接触、眼睛接触、吸入和食入分别应采取哪些处理措施？,"皮肤接触：脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤。
眼睛接触：提起眼睑，用流动清水或生理盐水冲洗，并尽快就医。
吸入：迅速撤离现场至空气新鲜处。保持呼吸道通畅。如呼吸困难，可及时送氧。如呼吸停止，立即进行人工呼吸并就医。
食入：饮足量温水，催吐。用清水或 1%硫代硫酸钠溶液洗胃并尽快就医。",,
新能源：绿色甲醇混合动力船舶技术研究 【王忠诚】.pdf,缸内直喷甲醇+缸内直喷柴油方案最高能实现多少柴油替代率，在87%替代率时指示热效率达到多少？,最高能实现87%的柴油替代率；在87%替代率时，指示热效率达到53.78%。,,
新能源：绿色甲醇混合动力船舶技术研究 【王忠诚】.pdf,甲醇混合动力新能源船舶由哪些主要动力组成，其综合能耗可降低多少以上？,甲醇发电机和锂电池电机组成，综合能耗降低15%以上。,,
法定检验[唐磊平].pdf,法定检验由哪些机构或人员执行？,船旗国主管机关，或由其授权的认可组织或验船师,,
法定检验[唐磊平].pdf,国际航行船舶和国内航行船舶分别签发哪些类型的法定证书？,"国际航行：公约证书
国内航行：安全与环保证书",,
法定检验[唐磊平].pdf,货船所有证书和客船安全证书的最长有效期分别是多少？,货船所有证书最长有效期5年。客船安全证书最长有效期12个月。,,
法定检验[唐磊平].pdf,年度检验应在证书每一周年日期前后多长时间窗口内进行？,前、后各3个月内,,
法定检验[唐磊平].pdf,哪些情况会导致船舶证书失效？,"未按公约和规范规定进行各种法定和船级的定期检验；
证书未按公约和规范规定予以签署；
证书中内容变更影响其有效性时。",,
海工概论[郑南].pdf,根据《中华人民共和国海上交通安全法》（2021年修订），海上设施的定义是什么，且不包括哪些港口设施？,海上设施，是指水上水下各种固定或者浮动建筑、装置和固定平台，但是不包括码头、防波堤等港口设施。,,
海工概论[郑南].pdf,座底式平台的浅水适用范围一般不超过多少米？,20米,,
海工概论[郑南].pdf,自升式平台常用的升降装置有哪两种？,液压插销式和电动齿轮齿条式,,
海工概论[郑南].pdf,自升式钻井平台压载完成后一般需要观察多长时间？,3小时,,
海工概论[郑南].pdf,第七代半潜式钻井平台的作业水深和钻井深度分别达到多少？,作业水深达3600米，钻井深度50000英尺,,
海工概论[郑南].pdf,动力定位系统分级中，DP-2在出现单个故障后自动保持船位和首向时，不包括哪些故障情形？,舱室进水和失火,,
海工概论[郑南].pdf,半潜式钻井平台卸载升船作业中，需要在压载室进行哪些操作以将平台升到拖航吃水？,在压载室操作排除压载舱内的压载水，卸掉船上多余的物资，将平台升到拖航吃水。,,
海工概论[郑南].pdf,井位抛锚作业中，平台被拖到离井位约多少海里左右时准备进场？,5海里左右,,
海工概论[郑南].pdf,转塔式单点系泊适用的水深范围是多少？,80米~1500米,,
海工概论[郑南].pdf,“海葵一号”圆筒型FPSO的设计寿命是多少年，且可连续海上运行多少年不回坞？,设计寿命30年，可连续海上运行15年不回坞,,
海工概论[郑南].pdf,“海基二号”超大型深水导管架集成了哪些系统，建造总高度、建造用时、关键尺寸精度控制和总重分别是多少？,“海基二号”集数字孪生系统、外加电流阴极保护系统、海洋环境检测系统、海底环境监测系统为一体；建造总高度为338.5米，建造用时26个月，关键尺寸精度控制在5毫米内，导管架总重37000吨。,,
海工概论[郑南].pdf,荔湾3-1深水气田开发项目中，水下生产设施的水深范围是多少，并配置了哪些规格和长度的海底管线？,水下生产设施水深为1350m至1500m；配置1条30”×275km浅水海底管线、2条22”×75km深水海底管线，以及1条14”从PY来的海底管线。,,
海工概论[郑南].pdf,固定式导管架平台在建造与安装过程中，片段列出了哪些分析项目？,静力分析、动力分析、疲劳分析、地震分析、装船分析、海上运输分析、下水运动及结构分析、扶正分析,,
海工概论[郑南].pdf,水下生产系统可回接到哪些类型的设施或平台？,导管架平台、FPSO、SPAR或TLP平台、岸上设施,,
海工概论[郑南].pdf,“海油观澜号”浮式风机的基础型式、作业水深、风电机组容量、设计寿命、离岸距离和主尺度参数分别是什么？,基础型式：半潜式；作业水深：120m；风电机组：7.25MW；设计寿命：25年；离岸距离：136公里；主尺度：整体高度200米，平台边长80米，高约35米，重量近4000吨。,,
海工概论[郑南].pdf,海上设施营运入级检验完成后，执行检验单位应在多长时间内将基本参数、检验信息表、证书或符合证明、报告面页等上载SSMIS？,检验完成后72小时内,,
海工概论[郑南].pdf,海上设施建造入级检验中，完工签发临时证书后的72小时内，执行检验单位需在SSMIS系统上传哪些文件或信息至主库？,签发的证书（包括附件）、检验报告面页、检验信息、Ship Particular等,,
海工概论[郑南].pdf,海上生产设施发证检验中，建造检验项目完成后或初次检验完成后的多少个工作日内，应在OEMIS系统上传证书、报告、记录及其它必要检验文件？,30个工作日内,,
海工概论[郑南].pdf,移动平台重大改建检验涉及海上移动平台安全证书签发时，龙骨安放日期或改建日期一栏应填写什么日期？,重大改建开始日期,,
海工概论[郑南].pdf,对于机器处所和FPSO货油区域防止油污染设备、取得国际防止生活污水污染证书的FPSO生活污水处理设备，片段规定其证书要求和检验标识分别是什么？,型式认可B+船用产品证书；检验标识为P,,
海工概论[郑南].pdf,移动平台产品入级、法定检验可依据哪些CCS规范或指南，如《材料与焊接规范》《海上移动平台入级规范》《钢质海船入级规范》的年份分别是什么？,"《材料与焊接规范》（2023）
《海上移动平台入级规范》（2023）
《钢质海船入级规范》（2022）
《海上浮动设施入级规范》（2023）
《海上钻井装置检验指南》（2017）
《海上油气处理系统规范》（2020）
《船舶与海上设施起重设备规范》（2007）
《产品检验指南》",,
海工概论[郑南].pdf,海洋石油生产设施产品发证、指定四项检验可采用哪些法规、业主或设计采标及国际行业技术标准作为检验依据？,"经贸委《海上固定平台安全规则》（2000）
安监总局《浮式生产储油装置（FPSO）安全规则》（2010）
ISO、API、AWS、ASME、ASTM、NACE、SSPC、ANSI、TEMA、IEC、NFPA等国际行业技术标准
CCS《海上生产设施救生设备、无线电通信设备、航行信号设备法定检验指南》
CCS《海上生产设施防污染法定检验指南》
技术规格书",,
海工概论[郑南].pdf,API RP 2A在海洋工程标准化体系中的定位包括哪四个方面？,"海洋工程标准化的起点
API 2系列规范的核心
行业认知的集中体现
ISO等固定式钢结构规范的母本",,
海工概论[郑南].pdf,海上石油生产设施发证检验产品应依据海工〔2023〕59号通知由哪些角色明确持证要求并准确签发证书？,项目检验验船师明确持证要求，产品检验单位准确签发证书。,,
海工概论[郑南].pdf,对于钻井设备持证要求讨论中，片段列出了哪四种按船旗和是否申请DRILL可选附加标志划分的移动平台情形？,"挂中国旗、不申请DRILL可选附加标志的移动平台；
挂中国旗、申请DRILL可选附加标志的移动平台；
挂外旗、不申请DRILL可选附加标志的移动平台；
挂外旗、申请DRILL可选附加标志的移动平台。",,
液化气体船建造检验[郭显亭].pdf,"根据IGC Code（2016）2.4.1，当单个液货舱总设计容积Vc≤1,000m3时，液货舱距舷侧外板的最小距离d应为多少？",0.8 m,,
液化气体船建造检验[郭显亭].pdf,八边形（Octagonal Shape）横剖面的折角布置为多少度，其设计目的是什么？,折角均布置为135°；横截面上下收缩达一定高度，以减少LNG液货对船体内壳的晃荡冲击以及自由液面的影响。,,
液化气体船建造检验[郭显亭].pdf,LNG的主要成分是什么，其大气沸点和液体密度分别是多少？,LNG的主要成分是甲烷（CH4），大气沸点为-161.5℃，液体密度为458 kg/m3。,,
液化气体船建造检验[郭显亭].pdf,A型独立液货舱若主要由平面构成（重力液货舱），其设计蒸气压力Po应满足什么要求？,应小于0.07MPa,,
液化气体船建造检验[郭显亭].pdf,全冷式气体液化方式是在什么压力条件下将气体冷却至液态温度以下进行运输，船上需设置哪些控制装置？,在大气压力下，将气体冷却至液态的温度以下进行运输。船上设有温度和压力控制装置。,,
液化气体船建造检验[郭显亭].pdf,货物围护系统邻接结构（内壳）在最低温度为-10°C及以下但高于-25°C、钢厚度T≤12.5mm时，应选用什么钢级？,B级钢,,
液化气体船建造检验[郭显亭].pdf,C型独立液货舱的设计压力、最低设计温度、制作材料和隔热厚度分别是多少？,3.5 bar g；-164℃；9%镍钢；340 mm PE材料,,
液化气体船建造检验[郭显亭].pdf,薄膜型LNG运输船货物围护系统建造检验步骤中，主层绝缘箱安装之后的下一步是什么？,主层薄膜的安装与焊接,,
液化气体船建造检验[郭显亭].pdf,氦气试验主要用于检测泄漏量大于多少、氦气浓度为多少时的泄漏点？,9.3X10-6Pa.m3sec-1，氦气浓度为20%,,
液化气体船建造检验[郭显亭].pdf,液货泵的检验要点包括哪些内容？,"泵的绝缘值符合设计要求;
低温电缆相位连接要正确；
泵和主启动箱之间的电缆绝缘；
排放管路的止回阀安装要正确；
泵的安装满足GTT工艺文件要求。",,
液化气体船建造检验[郭显亭].pdf,压缩机室被定义为危险区时，压缩机驱动马达应布置在什么位置，且驱动轴贯穿处应满足什么要求？,压缩机的驱动马达在隔壁的电动马达室内，驱动轴贯穿处保持气密。,,
液化气体船建造检验[郭显亭].pdf,气化器和加热器的检验要点中，管路及设备的密性试验目的是什么？,确保可燃气体或蒸汽不外泄。,,
液化气体船建造检验[郭显亭].pdf,根据 IGC Code（2016）4.19.1.6.2，横向船体结构材料加热系统中至少一个系统的所有电气部件应由什么电源供电？,应急电源,,
液化气体船建造检验[郭显亭].pdf,氮气发生器系统中的薄膜或吸附件额定容量至少应达到以体积表示的船的最大排气量的多少？,125％,,
液化气体船建造检验[郭显亭].pdf,根据 IGC Code（2016）13.3.5，交船后和每次干坞后第一次满载时，高液位报警试验应如何进行？,应通过提升液货舱中的货物液位至报警点进行高位报警试验。,,
液化气体船建造检验[郭显亭].pdf,美孚LNG项目柴油主机推进系统采用的两台6S70ME-C8.2主机，其单机功率和转速分别是多少？,"16,000 kW，85.0 rpm",,
液化气体船建造检验[郭显亭].pdf,AP LNG项目双燃料电力推进系统包含哪些主要设备？,双燃料主发电机、电推马达、减速齿轮箱、燃气双壁管,,
液化气体船建造检验[郭显亭].pdf,PULNG船双倾斜轴系中，轴线与船体中心线呈多少度夹角？,2.4°,,
液化气体船建造检验[郭显亭].pdf,液氮试验中，分别使用什么介质对扫舱/喷淋管、液货主管和挥发气主管进行冷却？,用液氮对扫舱/喷淋管冷却；用低温的氮气对液货主管和挥发气主管冷却。,,
液化气体船建造检验[郭显亭].pdf,首次卸货检验时，卸载开始阶段优先的时间范围是多少，并且在卸载开始前需要见证哪项系统试验？,卸载开始阶段优先（大约最初 4-6 小时）；在卸载开始前见证应急截止系统试验。,,
电气检验1.pdf,MF/HF设备属于GMDSS系统的主要组成设备，其峰包功率范围和发射频率范围分别是多少？,150-400W左右；2-27.5MHZ,,
电气检验1.pdf,VHF设备的作用距离约为多少海里，且16频道在设备中被规定为什么用途？,25海里左右；16频道为国际遇险通话频道,,
电气检验1.pdf,NAVTEX设备的工作频率是多少，2005年7月1日之后安装上船的设备要求具备什么工作能力？,工作频率是518KHz；2005年7月1日之后安装上船的设备要求能够双频工作。,,
电气检验1.pdf,EPIRB每隔多少秒发射一次包含数字编码信息的RF突发信号，且试验时按住按钮时间为什么不能超过该时间？,每隔50秒发射一次；因为EPIRB每隔50秒会发射包含数字编码信息的RF突发信号，系统可据此确定船舶识别号等信息，遇险性质定义为失事。,,
电气检验1.pdf,自动操舵仪根据什么信号控制舵机转动舵，且决议要求其能在多少秒内由自动舵转为手动舵？,根据罗经显示的船舶航向和规定的航向比较后所得的航向误差信号（即偏航信号）控制舵机转动舵；决议要求能在3秒内由自动舵转为手动舵。,,
电气检验2.pdf,A1、A2、A3、A4无线电海区在SOLAS第Ⅳ章中分别如何定义？,"A1海区系指至少由一个具有连续DSC报警能力的甚高频（VHF）海岸电台的无线电话所覆盖的区域，该区域可由各缔约国政府规定。基本是25公里的范围，是按照海岸电台为中心画园。
A2海区系指除A1海区以外，至少由一个具有连续DSC报警能力的中频（MF）海岸电台的无线电话所覆盖的区域，该区域可由各缔约国政府规定。基本是200公里的范围，是按照海岸电台为中心画园。
A3海区系指除A1和A2海区以外，由具有连续报警能力的船载船舶地面站支持的经认可的移动卫星业务。
A4海区系指A1、A2和A3海区以外的区域。",,
电气检验2.pdf,每艘船舶按第7条要求应配备的VHF无线电装置需要在哪些频率和频道上实现DSC或无线电话功能？,"DSC：156.525 MHz（70频道）；
无线电话：156.300 MHz（6频道）、156.650 MHz（13频道）、156.800 MHz（16频道）。",,
电气检验2.pdf,在A2海区航行的船舶，MF无线电装置应在哪些频率上分别使用DSC和无线电话进行遇险和安全通信？,"在2,187.5 kHz频率上使用DSC；在2,182 kHz频率上使用无线电话。",,
电气检验2.pdf,A4海区船舶的MF/HF无线电装置进行DSC值班时，必须保持哪些频率的连续值班，并至少还需选择哪些频率中的一个？,"2,187.5 kHz和8,414.5 kHz；并至少在4,207.5 kHz、6,312 kHz、12,577 kHz或16,804.5 kHz中的一个频率上保持连续值班。",,
电气检验2.pdf,EPIRB的年度测试和岸基维护分别应按什么时间间隔进行，客船和货船年度测试的时间窗口分别是什么？,"EPIRB应进行年度测试；岸基维护应按不超过5年的间隔期在经认可的岸基维护站进行。

年度测试时间窗口：
客船：《客船安全证书》到期之前3个月内。
货船：《货船无线电安全证书》到期之前3个月内，或周年日之前或之后的3个月内。",,
电气检验3.pdf,电缆离蒸汽管及其法兰、电阻器、锅炉等热源的空间距离一般应不小于多少毫米？,150mm,,
电气检验3.pdf,电缆管中电缆的总面积（含绝缘层）应不超过电缆管截面积的百分之多少？,40％,,
电气检验3.pdf,本质安全电路电缆的外护套应采用什么颜色或具有什么颜色条纹标识？,蓝色或具有蓝色条纹标识,,
电气检验3.pdf,ROXTEC密封模块的检验应在完成安装多少小时以后进行？,24小时,,
电气检验3.pdf,爆炸性气体危险场所按中国防爆标准和IEC标准划分为哪三个区域？,0区、1区和2区,,
职业责任和从业要求、BM要求 （庄琳璐）.pdf,根据《中华人民共和国保守国家秘密法》第二条，国家秘密的定义是什么？,国家秘密是关系国家的安全和利益，依照法定程序确定，在一定时间内只限一定范围的人员知悉的事项。,,
职业责任和从业要求、BM要求 （庄琳璐）.pdf,国家秘密分为哪三个密级，且其保密基本期限分别是多少年？,绝密（30年）、机密（20年）、秘密（10年）,,
职业责任和从业要求、BM要求 （庄琳璐）.pdf,中国船级社“内控A级”文件在办理、传递和存储方面有哪些管理要求？,纸质传阅，物理隔离内控A级计算机办理，通过机要线或邮政快递传递；不得在互联网计算机存储，不得通过互联网、微信等方式传递，不得通过其他快递传递。,,
职业责任和从业要求、BM要求 （庄琳璐）.pdf,中国船级社“内控B级”文件可以通过哪些系统或方式办理和传递，且禁止通过哪种方式拍照、传递、存储？,可在我社内网办公或业务系统（OA、MIS）办理，加密并脱密存储在互联网工作计算机或通过我社工作邮箱传递；不得通过微信拍照、传递、存储等。,,
职业责任和从业要求、BM要求 （庄琳璐）.pdf,《反不正当竞争法》第九条规定，经营者不得实施哪些侵犯商业秘密的行为？,"（一）以盗窃、贿赂、欺诈、胁迫、电子侵入或者其他不正当手段获取权利人的商业秘密；
（二）披露、使用或者允许他人使用以前项手段获取的权利人的商业秘密；
（三）违反保密义务或者违反权利人有关保守商业秘密的要求，披露、使用或者允许他人使用其所掌握的商业秘密；
（四）教唆、引诱、帮助他人违反保密义务或者违反权利人有关保守商业秘密的要求，获取、披露、使用或者允许他人使用权利人的商业秘密。",,
船海业务研讨 （戴臣福）.pdf,国际船舶检验业务中，高级技术服务人员需具备多少年以上新造船建造、监理或检验相关工作经历，并至少从事过哪些船型之一的新造船工作？,8年以上；大型LNG运输船、矿砂船、大型散货船、大型油轮、万箱及以上集装箱船其中之一以上的新造船工作。,,
船海业务研讨 （戴臣福）.pdf,进入密闭舱室前，验船师必须采取哪两项自身安全措施？,强制通风并检测气体,,
船海业务研讨 （戴臣福）.pdf,片段中列举的无损检测方法包括哪些缩写形式？,UT/RT/MT/PT,,
船海业务研讨 （戴臣福）.pdf,海工检验业务中，中级技术服务人员应达到取得检验资质多少年及以上验船师的能力，其编写的证书报告需由谁审核？,3年及以上；编写的证书报告需经正式验船师审核。,,
船海业务研讨 （戴臣福）.pdf,国际船舶新造船检验业务要求技术服务人员熟悉哪些核心国际公约示例？,SOLAS、MARPOL、LOAD LINE,,
船级社与入级概论[杨志勇].pdf,船舶检验的定义是什么，包括哪些主要工作和结果？,船舶检验系指船舶检验机构对船舶进行审图和检验，并签发相应证书或证明的过程。主要工作包括审图和检验，结果是签发相应证书或证明。,,
船级社与入级概论[杨志勇].pdf,入级服务流程包括从规范编制开始到船舶生命周期内哪些主要环节？,规范编制、船舶图纸审查、船舶及其相关产品的建造检验、签发证书、营运期验证船舶继续符合保持船级的相关条件和信息反馈。,,
船级社与入级概论[杨志勇].pdf,CCS对建造后船舶进行年度、中间、特别检验并签署或重新签发入级证书的周期一般为几年？,5年,,
船级社与入级概论[杨志勇].pdf,CCS《钢质海船入级规范》中定义的“规范”或“规范体系”包括哪些内容？,入级规范、专门规范、指南、计算软件,,
船级社与入级概论[杨志勇].pdf,COMPASS船舶规范校核和审图计算软件系统中，针对LNG船或LNG相关设备列举了哪些计算评估软件或船型？,C型LNG罐体规范计算软件；LNG船泵塔晃荡载荷加载及强度评估软件；薄膜型LNG船；C型LNG船；棱柱型LNG船,,
船级社与入级概论[杨志勇].pdf,CCS入级规范的编制原则中，规范（入级规范、专门规范、指南、计算软件）应符合质量体系规定的哪些过程？,起草、发放、评议、审定、批准、颁布,,
船级社与入级概论[杨志勇].pdf,《钢质海船入级规范》（2006）首次全部纳入了IACS的哪一类共同结构规范？,共同结构规范（CSR）,,
船级社与入级概论[杨志勇].pdf,CCS海船入级规范体系覆盖的船舶类型中，片段列举的液化天然气运输船（LNG）的舱容是多少立方米？,174000m3,,
船级社与入级概论[杨志勇].pdf,入级服务的目标是验证船体及附属物主要部件的哪些性能，以及推进系统、操舵系统、发电系统和其他辅助系统的哪些性能？,船体及附属物主要部件的结构强度和完整性；推进系统、操舵系统、发电系统以及船上装配的其他特征或辅助系统的可靠性和功能，能维持船上基本服务。,,
船级社与入级概论[杨志勇].pdf,建造后检验机制包括船体、机械设备和电气装置的哪些检验种类？,年度检验、中间检验、特别/换证检验、船底外部及有关项目检验、螺旋桨轴与尾管轴检验、锅炉检验、附加标志检验。,,
船级社与入级概论[杨志勇].pdf,美国海岸警卫队（USCG）和巴黎备忘录（PARIS MOU）等地区性港口当局监督组织使用什么制度作为选择船舶监督检查优先顺序的辅助手段？,计分制,,
船级社与入级概论[杨志勇].pdf,巴黎备忘录对上次监督检查“未发现缺陷”的船舶采取什么奖励方式，该奖励正分可抵消哪些负分？,给予奖励记正分奖励方式；奖励正分可以抵消船旗国或船级社的负分。,,
船级社与入级概论[杨志勇].pdf,港口当局检查官登船进行监督检查时，首先会对船舶形成什么印象，随后检查哪些相关证书和文件？,首先会对船舶概况有一总体印象；随后检查船舶相关证书和文件，包括船员资质证件。,,
船级社与入级概论[杨志勇].pdf,当港口当局检查官发现有“明显理由”认为船舶及其设备或船员资质不满足相关公约要求时，应进行何种检查，并应依据哪项IMO决议指南？,应进行“更为详细的检查”，并应按IMO A.787(19)决议《港口当局监督程序》中的“更为详细的检查”指南进行。,,
船级社与入级概论[杨志勇].pdf,CCS验船师受港口当局主管机关要求进行检查和检验时，无论单独进行还是与主管机关检查官一起进行，检查结果应向谁报告？,主管机关,,
船舶与海上设施类型[杨志勇].pdf,《船舶和海上设施检验条例》从检验角度如何定义“船舶”和“海上设施”？,"船舶：各类排水或非排水船艇、水上飞机、潜水器和移动平台；
海上设施：水上水下各种固定或浮动建筑、装置和固定平台。",,
船舶与海上设施类型[杨志勇].pdf,按航区分类时，海船和河船分别包含哪些航区等级或类别？,海船：无限、有限（R1/2/3）；河船：A、B、C、J,,
船舶与海上设施类型[杨志勇].pdf,按公约划分时，构造/设备、无线电、航行、载重线、散化液化和载客项目的公约与非公约界限分别是什么？,构造/设备：公约≥500GT，非公约<500GT；无线电：公约≥300GT，非公约<300GT；航行：公约≥150GT，非公约<150GT；载重线：公约>24m，非公约≤24m；散化液化：公约所有吨位，非公约无；载客：公约>12人，非公约≤12人。,,
船舶与海上设施类型[杨志勇].pdf,客船的定义中，载运乘客人数超过多少人时被认定为客船？,12人,,
船舶与海上设施类型[杨志勇].pdf,邮轮设计在结构和布置方面列出了哪些主要技术难点？,"基于母型船的概念设计和基本设计(关键性指标的准确性)；
多层甲板布置，结构受力复杂；
结构不连续，应力分布不均匀（贯通多层甲板的开口、游泳池/门窗大开口、救生艇存放位置缩进）；
舱壁甲板以下舱室布置及破舱稳性(渐进式浸水模拟)；
脱险通道布置及撤离分析(考虑紧急情况下船舶浮态)；
替代设计等效性分析(超长/超宽主竖区、大容量救生艇)；
安全返港和安全区域；",,
船舶与海上设施类型[杨志勇].pdf,液货船的定义是什么，其按货物类型包括哪些主要船舶类型？,运输散装液体货物的货船。按货物类型包括：油船，原油油船、原油/成品油油船、成品油油船、矿砂/散货/油类兼用船（O/B/O）、矿砂/油类兼用船（O/O）、穿梭油船和沥青船；液化气体船，LNG、LPG、LEG；化学品液货船。,,
船舶与海上设施类型[杨志勇].pdf,双舷侧散货船的所有货舱边界均为双舷侧结构时，其内、外壳之间的最小距离应满足什么要求？,大于或等于1000mm,,
船舶与海上设施类型[杨志勇].pdf,对船长90m及以上、全球不限航区的单舷侧或双壳结构散货船，应符合哪项共同结构规范？,IACS散货船共同结构规范（CSR）,,
船舶与海上设施类型[杨志勇].pdf,液化气体船在片段中列举了哪三种类型？,LNG、LPG、LEG,,
船舶与海上设施类型[杨志勇].pdf,石油沥青运输船货物操作温度一般在多少以上，且对货物舱边界与海水接触有何限制？,一般在1800C以上，不允许货物舱的边界直接与海水接触。,,
船舶与海上设施类型[杨志勇].pdf,液化气船中，2PG型（Type 2PG）适用的船长限制、释放阀最大调定值和设计温度要求分别是什么？,适用L≤150m；释放阀最大调定值至少为0.7MPa；设计温度为－55℃或以上。,,
船舶与海上设施类型[杨志勇].pdf,对于1986年7月1日之前建造并符合GC规则的液化气船，1G型、2G型、2PG型和3G型分别由哪些型式替代？,IG型、IIG型、IIPG型、IIIG型,,
船舶与海上设施类型[杨志勇].pdf,LNG运输船（LNG Carrier）的主要特征或用途是什么？,从事载运液化天然气（LNG）的船舶。,,
船舶与海上设施类型[杨志勇].pdf,LPG运输船适用于载运哪种货物，并由哪一规范对其构造与设备作出具体规定？,液化石油气（LPG）；《散装运输液化气体船舶构造与设备规范》有具体规定。,,
船舶与海上设施类型[杨志勇].pdf,液化气船中，1G型、2G型和3G型分别对应采取何种防漏保护措施的货物？,1G型：采用最严格防漏保护措施的货物；2G型：采用中等防漏保护措施的货物；3G型：采用中等防漏保护措施的货物。,,
